,,List of NPTEL Courses AY 2025-26 Sem02,,,,,,
,,S.No.,NPTEL Code,Name of the course,Dept,Year,Dept. Mentor,Sem reg Count
,,1,noc26-ce63,Maintenance and repair of concrete structures,CE,ENGG-3,,
,,2,noc26-ce15,Remote Sensing and GIS for rural development,CE,ENGG-3,,
,,3,noc26-ce74,Air Pollution and Control,CE,ENGG-4,,
,,4,noc26-ce71,Remote Sensing Essentials,CE,ENGG-4,,
,,5,noc26-ce70,Geographic Information System,CE,ENGG-4,,
,,6,noc26-ce64,Modern Construction Materials,CE,ENGG-4,,
,,7,noc26-ch16,Aspen Plus® Simulation Software - A Basic Course for Beginners ,CH,ENGG-3,,
,,8,noc26-ch42,Matlab Programming for Numerical Computation,CH,ENGG-3,,
,,9,noc26-cs13,Introduction to Information Retrieval,CS,ENGG-3,,
,,10,noc26-cs01,Foundations of Deep Learning: Concepts and Applications,CS,ENGG-3,,
,,11,noc26-cs46,"Object Oriented System Development using UML, Java And Patterns",CS,ENGG-3,,
,,12,noc26-cs09,Statistical Foundation for Big Data Analysis,CS,ENGG-3,,
,,13,noc26-cs55,Cloud Computing,CS,ENGG-4,,
,,14,noc26-cs37,Introduction to Internet Of Things,CS,ENGG-4,,
,,15,noc26-cs70,Human Computer Interaction (In English),CS,ENGG-4,,
,,16,noc26-ee31,Computer Vision and Image Processing - Fundamentals and Applications,CS,ENGG-4,,
,,17,noc26-ee41,"Embedded Sensing, Actuation and Interfacing Systems",EC,ENGG-3,,
,,18,noc26-ee70,Digital IC Design,EC,ENGG-3,,
,,19,noc26-ee46,Fundamentals of MIMO Wireless Communication,EC,ENGG-3,,
,,20,noc26-mg61,Leadership and Team Effectiveness,EC,ENGG-3,,
,,21,noc26-cs84,The Joy of Computing using Python,EC,ENGG-3,,
,,22,noc26-cs38,Introduction to Industry 4.0 and Industrial Internet of Things,EC,ENGG-3,,
,,23,noc26-hs29,Introduction To Political Theory,EC,ENGG-3,,
,,24,noc26-ee45,Digital VLSI Testing,EC,ENGG-4,,
,,25,noc26-cs74,Introduction to Machine learning,EC,ENGG-4,,
,,26,noc26-bt23,Forests and their Management,EC,ENGG-4,,
,,27,noc26-hs29,Introduction To Political Theory,EC,ENGG-4,,
,,28,noc26-cs84,The Joy of Computing using Python,EE,ENGG-3,,
,,29,noc26-mg61,Leadership and Team Effectiveness,EE,ENGG-3,,
,,30,noc26-cs38,Introduction to Industry 4.0 and Industrial Internet of Things,EE,ENGG-3,,
,,31,noc26-ee70,Digital IC Design,EE,ENGG-3,,
,,32,noc26-bt23,Forests and their Management,EE,ENGG-4,,
,,33,noc26-bt22,Conservation Economics,EE,ENGG-4,,
,,34,noc26-de06,Understanding Incubation and Entrepreneurship,EE,ENGG-4,,
,,35,noc26-mm42,Fundamentals Of Electronic Materials And Devices,MM,ENGG-3,,
,,36,noc26-mm46,Welding Processes,MM,ENGG-4,,
,,37,noc26-mm23,"Crystal Symmetry, X-Ray Diffraction and Physical Properties",MM,ENGG-4,,
,,38,noc26-me48,Computer Integrated Manufacturing,ME,ENGG-4,,
,,39,noc26-me01,Robotics: Basics and Selected Advanced Concepts,ME,ENGG-4,,