,,,,,,
,,,,,,
,,,,,,
,,,,,,
,"Year, Section",Category,Subject Code,Subject Name,L-T-P,Credits
,E1 Sem - II (1 Section),BSC,23MA1201,Linear Algebra & Numerical Methods,3-1-0,4
,,ESC,23ME1213,Engineering Mechanics,3-1-0,4
,,ESC,23ME1201,Material Science & Metallurgy,3-0-0,3
,,ESC,23CS1261,Programming & Data Structures,3-0-0,3
,,ESC,23ME1214,Engineering Graphics and Computer Drafting,1-0-3,2.5
,,ESC,23CS1291,Programming & Data Structures Lab,0-0-3,1.5
,,ESC,23ME1281,Material Science & Metallurgy Lab,0-0-3,1.5
,,MC,23BE1201,Environmental Science,2-0-0,0
,"Year, Section",,Subject Code,Subject Name,L-T-P,Credits
,E2 Sem - II (1 Section),PCC,23ME2201,Design of Machine Elements,3-1-0,4
,,PCC,23ME2202,Dynamics of Machinery,3-1-0,4
,,PCC,23ME2203,Fluid Mechanics & Hydraulic Machinery,3-1-0,4
,,PCC,23ME2204,Metal Cutting and Machine Tools,3-1-0,4
,,BSC,23MA2201,Probability and Statistics,3-0-0,3
,,PCC,23ME2281,Metal Cutting and Machine Tools Lab,0-0-3,1.5
,,PCC,23ME2282,Fluid Mechanics & Hydraulic Machinery Lab,0-0-3,1.5
,,MC,23HS2201,Biology for Engineers,2-0-0,0
,"Year, Section",,Subject Code,Subject Name,L-T-P,Credits
,E3 Sem - II (1 Section),PCC,23ME 3201,Operation Research,3 1 0,4
,,PCC,23ME 3202,Finite Element Method,3 1 0,4
,,HSC,23ME 3203,CAD/CAM,3 0 0,3
,,PEC,23CS 3224,Artificial Intelligence and Machine Learning,3 0 0,3
,,OEC,23XX 32XX,Entreprenership Education (Wadhwani foundation),3 0 0,3
,,PCC,23ME 3281,CAD/CAM Lab,0 0 3,1.5
,,PCC,23ME 3282,CAE Lab,0 0 3,1.5
,,HSC,23ME 3283,English Language Communication Skills Lab - III,0 0 3,1.5
,,,23ME 3291,Summer Internship,,3
,"Year, Section",,Subject Code,Subject Name,L-T-P,Credits
,E4 Sem - II         (1 Section),PEC,20ME4255,Advanced Manufacturing Processes,3-0-0,3
,,OEC,20ME4220,Total Quality Management and Reliability,3-0-0,3
,,OEC,noc26-me48,Computer Integrated Manufacturing,3-0-0,3
,,,noc26-me01,Robotics: Basics and Selected Advanced Concepts,,
,,MC,20ME4201,Community Service,0-0-0,2
,,PROJ-2,20ME4293,Project-2,0-0-12,6